"MARKET","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AMEX","MZA","MuniYield Arizona Fund, Inc.","16.6101","$76.62M","1993","n/a","n/a","http://www.nasdaq.com/symbol/mza",
"AMEX","NNVC","NanoViricides, Inc.","1.56","$90.76M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/nnvc",
"AMEX","ATEST","NASDAQ TEST STOCK","25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atest",
"AMEX","ATEST.A","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atest.a",
"AMEX","ATEST.B","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atest.b",
"AMEX","ATEST.C","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atest.c",
"AMEX","NHC","National HealthCare Corporation","65.87","$1.01B","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/nhc",
"AMEX","NAVB","Navidea Biopharmaceuticals, Inc.","0.8823","$137.42M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/navb",
"AMEX","NTIP","Network-1 Technologies, Inc.","2.7472","$64.06M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ntip",
"AMEX","NBW","Neuberger Berman California Intermediate Municipal Fund Inc.","16.29","$90.33M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nbw",
"AMEX","NHS","Neuberger Berman High Yield Strategies Fund","11.82","$230.97M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nhs",
"AMEX","NBH","Neuberger Berman Intermediate Municipal Fund Inc.","16.42","$308.24M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nbh",
"AMEX","NML","Neuberger Berman MLP Income Fund Inc.","9.12","$515.71M","2013","n/a","n/a","http://www.nasdaq.com/symbol/nml",
"AMEX","NBO","Neuberger Berman New York Intermediate Municipal Fund Inc.","14.39","$73.05M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nbo",
"AMEX","NRO","Neuberger Berman Real Estate Securities Income Fund, Inc.","5.48","$305.72M","2003","n/a","n/a","http://www.nasdaq.com/symbol/nro",
"AMEX","UWN","Nevada Gold & Casinos, Inc.","1.78","$31.68M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/uwn",
"AMEX","NSU","Nevsun Resources Ltd","2.81","$844.31M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nsu",
"AMEX","GBR","New Concept Energy, Inc","2.4918","$4.85M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gbr",
"AMEX","NEN","New England Realty Associates Limited Partnership","59.55","$223.18M","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/nen",
